anio,trimestre,provincia,accesos por cada 100 hogares,variacion de los accesos por cada 100 hogares
2018,3,Tierra Del Fuego,92.77,0.012662373103373037
2018,3,Tucumán,41.68,0.004095398699108799
2018,4,Buenos Aires,64.6,0.0024829298572315306
2018,4,Capital Federal,108.27,-0.0016597510373445035
2018,4,Catamarca,32.23,-0.020959902794653873
2018,4,Chaco,32.59,0.009603469640644402
2018,4,Chubut,42.61,-0.2443695690725306
2018,4,Córdoba,65.09,0.013231631382316422
2018,4,Corrientes,34.57,0.009343065693430574
2018,4,Entre Ríos,54.37,0.08263639984070092
2018,4,Formosa,29.74,0.005409060175794567
2018,4,Jujuy,46.53,1.0004299226139293
2018,4,La Pampa,73.49,0.024250871080139236
2018,4,La Rioja,50.35,-0.0074906367041197575
2018,4,Mendoza,37.76,-0.006054224795999041
2018,4,Misiones,34.45,0.07320872274143309
2018,4,Neuquén,59.07,-0.02347495453794013
2018,4,Río Negro,51.86,0.02611792639493471
2018,4,Salta,39.8,0.009383717981232609
2018,4,San Juan,31.9,-0.03479576399394857
2018,4,San Luis,67.55,0.2903533906399236
2018,4,Santa Cruz,23.69,-0.2761992056217536
2018,4,Santa Fe,65.59,0.03437943542028088
2018,4,Santiago Del Estero,37.4,0.03172413793103446
2018,4,Tierra Del Fuego,93.59,0.008839064352700321
2018,4,Tucumán,41.76,0.0019193857965451588
2019,1,Buenos Aires,66.24,0.025386996904024794
2019,1,Capital Federal,109.2,0.008589637018564744
2019,1,Catamarca,32.19,-0.001241079739373263
2019,1,Chaco,32.64,0.0015342129487572187
2019,1,Chubut,43.0,0.009152781037315094
2019,1,Córdoba,65.52,0.006606237517283731
2019,1,Corrientes,35.13,0.016199016488284812
2019,1,Entre Ríos,56.79,0.044509839985286126
2019,1,Formosa,29.68,-0.0020174848688634395
2019,1,Jujuy,46.41,-0.0025789813023856523
2019,1,La Pampa,76.35,0.03891685943665801
2019,1,La Rioja,50.18,-0.00337636544190667
2019,1,Mendoza,37.66,-0.0026483050847457834
2019,1,Misiones,36.26,0.052539912917271225
2019,1,Neuquén,58.88,-0.003216522769595387
2019,1,Río Negro,53.57,0.032973389895873506
2019,1,Salta,40.1,0.007537688442211143
