anio,trimestre,provincia,hasta_512kbps,512kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,mas_30mbps,otros,total
2017,2,Santiago Del Estero,26.0,3.539,20.384,6.432,2.802,16.0,0.0,0.0,75.15700000000001
2017,2,Tierra Del Fuego,16.0,285.0,35.409,0.0,0.0,0.0,0.0,0.0,336.409
2017,2,Tucumán,96.0,9.236,83.342,42.536,17.788,1.371,21.0,0.0,271.273
2017,1,Buenos Aires,6.017,83.918,85.0123208955224,402.315,523.54,90.937,22.299,0.0,1214.0383208955222
2017,1,Capital Federal,510.0,1.409,678.922,218.487,277.195,66.536,19.881,0.0,1772.4300000000003
2017,1,Catamarca,15.0,3.328,15.861,4.901,2.161,49.0,0.0,0.0,90.251
2017,1,Chaco,191.0,3.835,44.544,21.467,15.671,3.025,314.0,0.0,593.5419999999999
2017,1,Chubut,401.0,4.182,73.759,1.808,0.0,0.0,0.0,0.0,480.749
2017,1,Córdoba,50.0,28.732,391.556,82.011,118.643,19.035,2.071,0.0,692.048
2017,1,Corrientes,15.0,6.04,48.149,20.586,11.468,2.044,303.0,0.0,406.287
2017,1,Entre Ríos,1.68,8.08,108.379,39.146,20.562,2.254,317.0,0.0,497.101
2017,1,Formosa,1.535,3.538,15.473,4.446,4.058,635.0,22.0,0.0,686.05
2017,1,Jujuy,330.0,6.213,27.824,6.486,2.306,44.0,0.0,0.0,416.829
2017,1,La Pampa,362.0,9.279,57.739,331.0,192.0,165.0,11.0,0.0,1128.018
2017,1,La Rioja,9.0,1.578,9.486,3.409,1.718,22.0,2.0,0.0,49.191
2017,1,Mendoza,106.0,15.0,177.201,86.0,50.0,5.0,22.0,0.0,461.201
2017,1,Misiones,1.01,4.665,45.95,23.847,19.356,2.627,166.0,0.0,263.455
2017,1,Neuquén,1.547,1.418,83.813,902.0,15.13,4.223,458.0,0.0,1466.1309999999999
2017,1,Río Negro,986.0,5.647,89.622,246.0,6.738,1.594,200.0,0.0,1535.601
2017,1,Salta,579.0,4.861,70.922,21.554,9.386,267.0,74.0,0.0,1026.723
2017,1,San Juan,8.0,192.0,58.588,0.0,0.0,0.0,4.0,0.0,262.588
2017,1,San Luis,8.0,4.0,14.014,0.0,0.0,1.0,2.0,0.0,29.014
2017,1,Santa Cruz,190.0,23.0,31.078,474.0,68.0,30.0,0.0,0.0,816.078
2017,1,Santa Fe,4.966,39.463,340.418,77.152,83.008,15.775,1.831,0.0,562.6129999999999
2017,1,Santiago Del Estero,26.0,3.772,21.659,6.218,2.786,17.0,0.0,0.0,77.435
2017,1,Tierra Del Fuego,16.0,285.0,35.409,0.0,0.0,0.0,0.0,0.0,336.409
2017,1,Tucumán,96.0,9.682,86.47,39.155,15.951,1.383,13.0,0.0,261.64099999999996
2016,4,Buenos Aires,6.055,86.281,85.0123208955224,403.575,467.398,72.348,17.279,0.0,1137.9483208955226
2016,4,Capital Federal,517.0,1.477,704.324,225.723,264.582,53.506,16.756,0.0,1783.368
2016,4,Catamarca,15.0,3.478,16.519,4.889,2.077,54.0,0.0,0.0,95.963
2016,4,Chaco,191.0,3.983,45.634,21.323,14.887,2.586,250.0,0.0,529.413
2016,4,Chubut,401.0,4.493,73.951,1.352,0.0,0.0,0.0,0.0,480.79599999999994
2016,4,Córdoba,50.0,29.38,404.645,77.966,108.368,15.458,1.606,0.0,687.4229999999999
2016,4,Corrientes,15.0,6.109,48.995,20.187,10.908,1.645,234.0,0.0,336.844
